type,subject_code,subject_rank,subject_name,subject_id,estimate,reference_id,created,modified
0,4,family,Mengenillidae,718849b1-8b22-4ba0-9576-f9fab0a098ac,16,70,2015-10-19 18:58:43,
0,4,family,Myrmecolacidae,77feab03-06ac-45ed-946c-5a4feb154a67,84,70,2015-10-19 18:59:41,
0,4,family,Stylopidae,89b0d890-1a39-4f36-b39e-b5239fa91832,169,70,2015-10-19 19:00:08,
0,4,family,Xeninae,f5f820da-b86f-4e06-973f-a25078f5319e,117,70,2015-10-19 19:00:27,
0,1,family,Isoetaceae,cca96693-2e60-499f-a9b6-c32df7fb9410,170,72,2015-10-20 23:01:44,
0,1,family,Lycopodiaceae,8531a5ce-dbb9-410f-8605-3aec010f9d45,470,72,2015-10-20 23:38:14,
0,1,family,Selaginellaceae,136d7459-1381-48a8-93e1-0256cce229de,690,72,2015-10-20 23:38:43,
0,1,family,Marattiaceae,ea8c4185-606c-479d-aec3-29366c457bb0,140,72,2015-10-20 23:39:10,
0,1,family,Cibotiaceae,286b37bc-7c1d-4619-9354-bdbda8913f17,11,72,2015-10-20 23:41:04,
0,1,family,Culcitaceae,0d79d882-b997-4ad5-8968-140c181d242e,2,72,2015-10-20 23:42:04,
0,1,family,Cyatheaceae,aaba143a-5b78-4019-b9e9-300fc1edcb9f,650,72,2015-10-20 23:42:24,
0,1,family,Dicksoniaceae,c32997c3-2088-440a-8e62-3a40371a7d37,31,72,2015-10-20 23:42:49,
0,1,family,Loxsomataceae,689df5e0-d3ff-4caa-b4f8-2e1a6450fdde,2,72,2015-10-20 23:43:12,
0,1,family,Metaxyaceae,577f60cc-4f96-4783-bb98-c5288f0a0055,2,72,2015-10-20 23:43:32,
0,1,family,Plagiogyriaceae,f983b32a-27f7-48c7-9261-ea0ec6d73c3f,12,72,2015-10-20 23:43:49,
0,1,family,Thyrsopteridaceae,a2f09d45-3076-49cc-9f0f-274a1dd72bc9,1,72,2015-10-20 23:44:06,
0,1,family,Gleicheniaceae,f19c18c2-aa47-40c5-bc05-2fc02653bf4c,150,72,2015-10-20 23:45:14,
0,1,family,Dipteridaceae,08209652-526b-4528-a008-84f492d3bbad,10,72,2015-10-20 23:45:32,
0,1,family,Matoniaceae,a0f03660-43a7-459a-914f-f90d6f32d775,3,72,2015-10-20 23:45:45,
0,1,family,Hymenophyllaceae,f0001eff-478c-47a1-a96d-47c4cf109551,600,72,2015-10-20 23:46:17,
0,1,family,Osmundaceae,f0c8d8f1-e713-4417-92a5-3dc82dcf9ecb,21,72,2015-10-20 23:46:39,
0,1,family,Salviniaceae,7cd300af-de4c-47d7-adb2-dacc6e18a207,18,72,2015-10-20 23:47:15,
0,1,family,Marsileaceae,68e76517-e33a-49ce-b2a5-e45c87bb8314,60,72,2015-10-20 23:47:34,
0,1,family,Anemiaceae,9f79db61-14a9-432f-875f-518774b008ee,125,72,2015-10-20 23:48:09,
0,1,family,Lygodiaceae,9064e72d-0f6f-4429-8ab6-3cb419724d1b,29,72,2015-10-20 23:48:23,
0,1,family,Schizaeaceae,9d175cfb-a77d-421b-b393-b5eb8e5ca38a,33,72,2015-10-20 23:48:38,
0,1,family,Aspleniaceae,74093ab7-8b1b-4f54-83ec-5e9340ad608b,720,72,2015-10-20 23:49:13,
0,1,family,Athyriaceae,4b275f07-d289-4bd3-a203-9ad1eff4908e,730,72,2015-10-20 23:49:27,
0,1,family,Blechnaceae,0d133972-42bf-4b5a-852e-60a5974c8732,250,72,2015-10-20 23:49:45,
0,1,family,Cystopteridaceae,0dfc39ea-5b4d-4807-8957-01af16882538,38,72,2015-10-20 23:49:57,
0,1,family,Davalliaceae,23877be2-87c1-471e-9873-ef99917a663b,50,72,2015-10-20 23:50:22,
0,1,family,Dennstaedtiaceae,07a02f8a-ee17-4402-af3a-fa21951e9176,240,72,2015-10-20 23:50:50,
0,1,family,Diplaziopsidaceae,f2a513a1-92fb-4148-8fd8-203fd3019402,3,72,2015-10-20 23:51:04,
0,1,family,Dryopteridaceae,3b8c8d20-6629-45a5-9843-b44df57c0bac,2100,72,2015-10-20 23:51:22,
0,1,family,Hemidictyaceae,9932a4ec-14e7-4df5-8a77-1cb94a58fa23,1,72,2015-10-20 23:51:43,
0,1,family,Hypodematiaceae,d5193da9-591e-4ec7-a7e1-896ddb7be4ff,16,72,2015-10-20 23:51:58,
0,1,family,Lindsaeaceae,8f3d505b-8018-4ac2-96f6-c16024141104,230,72,2015-10-20 23:52:17,
0,1,family,Lomariopsidaceae,346515e8-3d18-46de-970d-96226156e7bd,55,72,2015-10-20 23:52:47,
0,1,family,Lonchitidaceae,94f546ab-843a-40e0-9506-4b3c0d595fa3,3,72,2015-10-20 23:53:04,
0,1,family,Nephrolepidaceae,0185209b-2e7a-4366-b1a7-db514b4e15e0,40,72,2015-10-20 23:53:19,
0,1,family,Oleandraceae,cc1088d0-1858-4ed2-8803-53efb8ecc5cb,18,72,2015-10-20 23:53:35,
0,1,family,Onocleaceae,fdaccaca-450d-421e-94d2-132d2220e402,5,72,2015-10-20 23:53:51,
0,1,family,Polypodiaceae,121dbf81-db8b-4895-8c53-f14fc7610e71,1650,72,2015-10-20 23:54:07,2016-01-04 23:48:23
0,1,family,Pteridaceae,bae4a6b6-f104-476e-940a-e8c4149fb30f,1320,72,2015-10-20 23:54:25,
0,1,family,Rhachidosoridaceae,a1c38d99-495f-4b8f-9825-52235e9dc007,6,72,2015-10-20 23:54:47,
0,1,family,Saccolomataceae,1191bf15-16c5-401f-a37f-6a29a955c5a4,24,72,2015-10-20 23:55:01,
0,1,family,Tectariaceae,a04514f2-3474-464f-a854-36d1e6f71b64,300,72,2015-10-20 23:55:18,
0,1,family,Thelypteridaceae,d80fcba9-0321-465e-bba2-fef29d34e267,1200,72,2015-10-20 23:55:35,
0,1,family,Woodsiaceae,02ec2017-7c36-406d-abc5-e93aea1e2d86,50,72,2015-10-20 23:55:53,
0,1,genus,Geranium,fc11c169-ef6f-49ea-ad54-55ea669958a5,325,65,2015-10-22 17:46:52,
0,1,genus,Erodium,b1b440d2-912e-42f1-9e5f-f552f163b341,75,65,2015-10-22 17:47:19,
0,1,genus,Pelargonium,b7a3b89e-ca23-468c-b08f-e176846c7e2c,300,65,2015-10-22 17:47:48,
0,1,family,Geraniaceae,1a938644-5c38-48cd-9421-2382dfd90501,740,65,2015-10-22 17:50:03,
0,4,class,Myxini,fe470e22-dbbb-44e9-a2fc-a88971260a13,70,23,2015-10-22 18:11:46,
0,4,order,Myxiniformes,ffdc0b96-ee81-45f7-951e-11ea6eda9e88,70,35,2015-10-22 18:12:24,
0,4,class,Cephalaspidomorphi,7218ce01-247e-43d2-b523-87798bf5e09c,38,23,2015-10-22 18:14:03,
0,4,order,Petromyzontiformes,ac186889-96a3-4803-97d9-1a8747fc2b25,38,35,2015-10-22 18:14:16,
0,4,class,Holocephali,0c5d93f1-2242-4432-ac0d-d465cf6db4e0,33,23,2015-10-22 18:16:08,
0,4,order,Chimaeriformes,12fe357d-36a8-495d-9031-78ba76e5ba1c,33,35,2015-10-22 18:16:21,
0,4,order,Heterodontiformes,839cf93d-8b20-4628-9e50-b7917eeb5514,8,35,2015-10-22 18:17:31,
0,4,order,Orectolobiformes,d699489a-f1bb-4c5e-9076-74add543cfdc,32,35,2015-10-22 18:17:56,
0,4,order,Orectolobiformes,d699489a-f1bb-4c5e-9076-74add543cfdc,32,35,2015-10-22 18:18:18,
0,4,order,Lamniformes,202c8fe9-49df-4248-bc9c-9f3992deba79,15,35,2015-10-22 18:18:37,
0,4,order,Carcharhiniformes,d594495e-40dd-4b63-8030-bc787c6f5731,224,35,2015-10-22 18:18:57,
0,4,order,Hexanchiformes,a68afbad-71f7-4714-a080-b4d549700573,5,35,2015-10-22 18:19:10,
0,4,order,Squaliformes,3cc7fbc1-4091-4443-a1ea-aaa7c298d481,97,35,2015-10-22 18:22:08,
0,4,order,Squatiniformes,c5969e1d-63b3-48a9-af28-d912304059f7,15,35,2015-10-22 18:22:43,
0,4,order,Pristiophoriformes,043aef55-e34b-42cf-ac27-2939a3fb51fa,5,35,2015-10-22 18:23:01,
0,4,order,Torpediniformes,33b53113-9a57-4319-aea6-24a256e1b4bd,59,35,2015-10-22 18:23:22,
0,4,order,Pristiformes,,7,35,2015-10-22 18:23:45,
0,4,order,Rajiformes,d54c39df-b787-4b57-9c4d-a593de2e7b5f,285,35,2015-10-22 18:24:04,
0,4,order,Myliobatiformes,66c3cb18-abf4-4034-b6d9-ecf550dc9f01,183,35,2015-10-22 18:24:22,
0,4,order,Polypteriformes,790f0506-16ee-4b3d-8222-203624b13643,16,35,2015-10-22 18:25:32,
0,4,order,Acipenseriformes,453b8807-91ef-48f2-850a-f2b299cc5ce7,27,35,2015-10-22 18:25:52,
0,4,order,Lepisosteiformes,736455e2-c2c8-4301-a861-b038a2335ece,7,35,2015-10-22 18:26:15,
0,4,order,Amiiformes,2e7708fb-4d1f-447b-b001-206d1e5c54ea,1,35,2015-10-22 18:26:30,
0,4,order,Osteoglossiformes,a7dbbf0f-8a9b-40a6-be7f-6eb1cd680ee2,218,35,2015-10-22 18:27:39,
0,4,order,Elopiformes,6836d7d2-32f1-4dac-ba3f-f05265e86ec9,8,35,2015-10-22 18:28:02,
0,4,order,Albuliformes,7a994d7a-dbf9-4141-acb8-34fd7c06a3e4,30,35,2015-10-22 18:28:19,
0,4,order,Anguilliformes,37ff8e39-d94a-45ef-abb4-59b3a6171812,791,35,2015-10-22 18:28:37,
0,4,order,Saccopharyngiformes,97f836c6-df2d-4f9f-8202-406ead8c582a,28,35,2015-10-22 18:29:00,
0,4,order,Clupeiformes,3d9f846c-72f0-4776-9ef8-12a14c4d6b4b,364,35,2015-10-22 18:29:21,
0,4,order,Gonorynchiformes,b45ca542-cc27-41f5-8ebe-0e179839dca3,37,35,2015-10-22 18:29:45,
0,4,order,Cypriniformes,bf70c7fd-b3c4-44fd-8f7d-800e1a134443,3268,35,2015-10-22 18:30:09,
0,4,order,Characiformes,4f9be9b2-0792-4937-bd12-1fe2bc98baa8,1674,35,2015-10-22 18:30:29,
0,4,order,Siluriformes,c9b6f516-6f9f-40a1-8439-928c98eed542,2867,35,2015-10-22 18:30:53,
0,4,order,Gymnotiformes,4aca9ee7-1205-4d0c-85d2-eb7be956945a,134,35,2015-10-22 18:31:13,
0,4,order,Osmeriformes,cf6ca5d0-75a8-4de1-ad8f-6252da642fd0,88,35,2015-10-22 18:32:11,
0,4,order,Salmoniformes,3d001020-b6f2-42b1-bda9-28fd4383e6e8,66,35,2015-10-22 18:32:30,
0,4,order,Esociformes,ddbcf1d5-9884-43fa-b524-fcba6179ce5b,10,35,2015-10-22 18:32:51,
0,4,order,Stomiiformes,73241c08-360e-46e6-b009-2f9f105cbb80,391,35,2015-10-22 18:33:14,
0,4,order,Ateleopodiformes,698b3cff-d488-43f4-a6d8-a309c8a16483,12,35,2015-10-22 18:33:30,
0,4,order,Aulopiformes,00ac2216-54cf-466a-8143-ba168d4e0ad8,236,35,2015-10-22 18:33:49,
0,4,order,Myctophiformes,d4258738-127e-44d0-8c6c-357f1437b69c,246,35,2015-10-22 18:34:15,
0,4,order,Lampriformes,16754696-bd15-4aba-88f0-d4f29570bc16,21,35,2015-10-22 18:34:35,
0,4,order,Polymixiiformes,3e782ff8-02c0-472c-89d6-e9a75776889b,10,35,2015-10-22 18:34:55,
0,4,order,Percopsiformes,fb8dd959-537f-4433-a1bc-e5219f207f68,9,35,2015-10-22 18:35:13,
0,4,order,Gadiformes,ba71acf9-fbc6-4826-97b1-87d8bde83126,555,35,2015-10-22 18:35:38,
0,4,order,Ophidiiformes,a695ba23-022c-4dde-a5fb-a9be947f7578,385,35,2015-10-22 18:35:59,
0,4,order,Batrachoidiformes,fb8ecf61-cdb1-4dd8-a8c5-3b91d4e6c69e,78,35,2015-10-22 18:36:15,
0,4,order,Lophiiformes,8c58867e-4a46-4495-b540-87be7a6797e0,313,35,2015-10-22 18:36:32,
0,4,order,Mugiliformes,863baf08-b1fa-4755-9aff-ec8479d44905,72,35,2015-10-22 18:36:49,
0,4,order,Atheriniformes,dddf897a-cc20-4448-8d11-275a2ef3bc8d,312,35,2015-10-22 18:37:31,
0,4,order,Beloniformes,283debed-6686-424f-9d8b-6b0fed0791f0,227,35,2015-10-22 18:37:50,
0,4,order,Cyprinodontiformes,a653aae6-08bd-4827-bdc6-fc20a14bcc98,1013,35,2015-10-22 18:38:08,
0,4,order,Stephanoberyciformes,e6a2416d-39d9-49f9-9b8e-02335b3a1587,75,35,2015-10-22 18:38:34,
0,4,order,Beryciformes,61e12167-ddbb-492b-80e7-2d92100ed418,144,35,2015-10-22 18:38:51,
0,4,order,Zeiformes,64e710fd-3487-405c-a662-6909184da0a5,32,35,2015-10-22 18:39:10,
0,4,order,Gasterosteiformes,597da506-28d2-4190-a670-acc8f04ea818,278,35,2015-10-22 18:39:35,
0,4,order,Synbranchiformes,a354ffe2-74cd-4bf0-937a-e55f307ed177,99,35,2015-10-22 18:40:02,
0,4,order,Scorpaeniformes,c9d9afc9-a884-4c2f-b16f-b34a0e76e705,1477,35,2015-10-22 18:40:27,
