id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41652981,41652981,Hagiastridae,,family,Hagiastridae,,,,,,,f,,{},{},,{},{},,,,,0
41648105,41648105,Not assigned,,class,,,,,,,,f,,{},{},,{},{},,,,,5
41641983,41641983,Atelecrinidae,,family,Atelecrinidae,,,,,,,f,,{},{},,{},{},,,,,0
41651772,41651772,Nandiniidae,,family,Nandiniidae,,,,,,,f,,{},{},,{},{},,,,,0
41652008,41652008,Wallemiaceae,,family,Wallemiaceae,,,,,,,f,,{},{},,{},{},,,,,0
41655705,41655705,Lobophylliidae,,family,Lobophylliidae,,,,,,,f,,{},{},,{},{},,,,,0
41643368,41643368,Aciculidae,,family,Aciculidae,,,,,,,f,,{},{},,{},{},,,,,0
41653757,41653757,Pennospiriferinoidea,,superfamily,Pennospiriferinoidea,,,,,,,f,,{},{},,{},{},,,,,0
41653977,41653977,Komiellidae,,family,Komiellidae,,,,,,,f,,{},{},,{},{},,,,,0
41650721,41650721,Trachypodaceae,,family,Trachypodaceae,,,,,,,f,,{},{},,{},{},,,,,0
41649882,41649882,Not assigned,,family,,,,,,,,f,,{},{},,{},{},,,,,5
41651017,41651017,Brachyspiraceae,,family,Brachyspiraceae,,,,,,,f,,{},{},,{},{},,,,,0
41644401,41644401,Salmoniformes,,order,Salmoniformes,,,,,,,f,,{},{},,{},{},,,,,0
41651230,41651230,Flatidae,,family,Flatidae,,,,,,,f,,{},{},,{},{},,,,,0
41652421,41652421,Sabiaceae,,family,Sabiaceae,,,,,,,f,,{},{},,{},{},,,,,0
41647956,41647956,Pittosporaceae,,family,Pittosporaceae,,,,,,,f,,{},{},,{},{},,,,,0
41642238,41642238,Cyclopedidae,,family,Cyclopedidae,,,,,,,f,,{},{},,{},{},,,,,0
41644311,41644311,Mycetozoa,,phylum,Mycetozoa,,,,,,,f,,{},{},,{},{},,,,,0
41642129,41642129,Cricetidae,,family,Cricetidae,,,,,,,f,,{},{},,{},{},,,,,0
41646245,41646245,Pholidichthyidae,,family,Pholidichthyidae,,,,,,,f,,{},{},,{},{},,,,,0
41653786,41653786,Schizophoriidae,,family,Schizophoriidae,,,,,,,f,,{},{},,{},{},,,,,0
41649168,41649168,Gemelliporellidae,,family,Gemelliporellidae,,,,,,,f,,{},{},,{},{},,,,,0
41654271,41654271,Thecodontia,,order,Thecodontia,,,,,,,f,,{},{},,{},{},,,,,0
41654098,41654098,Bimuriidae,,family,Bimuriidae,,,,,,,f,,{},{},,{},{},,,,,0
41644002,41644002,Not assigned,,family,,,,,,,,f,,{},{},,{},{},,,,,5
41647427,41647427,Trochamminoidae,,family,Trochamminoidae,,,,,,,f,,{},{},,{},{},,,,,0
