key,subject_dataset_key,subject_rank,subject_name,target_rank,target_name,target_id
139,1098,genus,Grandigallia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
140,1098,genus,Repetophragma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
141,1098,genus,Bryorella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
142,1098,genus,Prolisea,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
143,1098,genus,Bryostroma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
144,1098,genus,Ceratocarpia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
145,1098,genus,Isomunkia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
146,1098,genus,Perusta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
147,1098,genus,Kirschsteiniella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
148,1098,genus,Mycocryptospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
149,1098,genus,Lanatosphaera,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
150,1098,genus,Byssogene,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
151,1098,genus,Pyrenochium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
152,1098,genus,Semisphaeria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
153,1098,genus,Pseudoramichloridium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
154,1098,genus,Disculina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
155,1098,genus,Cerodothis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
156,1098,genus,Dilophia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
157,1098,genus,Clypeostroma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
158,1098,genus,Hyalocrea,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
159,1098,genus,Microcyclella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
160,1098,genus,Heleiosa,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
161,1098,genus,Chaetomelanops,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
162,1098,genus,Rosenscheldia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
163,1098,genus,Hyalotexis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
164,1098,genus,Ramimonilia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
165,1098,genus,Hansfordiellopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
166,1098,genus,Gilletiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
167,1098,genus,Dawsophila,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
168,1098,genus,Septonema,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
169,1098,genus,Dianesea,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
170,1098,genus,Endococcus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
171,1098,genus,Syrropeltis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
172,1098,genus,Homortomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
173,1098,genus,Brachyconidiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
174,1098,genus,Peroschaeta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
175,1098,genus,Rosellinula,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
176,1098,genus,Calyptra,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
177,1098,genus,Stictochorella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
178,1098,genus,Peltaster,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
179,1098,genus,Saxomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
180,1098,genus,Phaeotomasellia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
181,1098,genus,Flavobathelium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
182,1098,genus,Phaeosclera,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
183,1098,genus,Gibberidea,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
184,1098,genus,Exosporina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
185,1098,genus,Cyclothyrium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
186,1098,genus,Braunomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
187,1098,genus,Melanochlamys,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
188,1098,genus,Phanerococculus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
189,1098,genus,Pleosphaerellula,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
190,1098,genus,Thyrospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
191,1098,genus,Cercidospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
192,1098,genus,Heterosphaeriopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
193,1098,genus,Bryosphaeria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
194,1098,genus,Dermatodothis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
195,1098,genus,Phaeopeltosphaeria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
196,1098,genus,Thalassoascus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
197,1098,genus,Cladoriella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
198,1098,genus,Pyrenostigme,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
199,1098,genus,Norrlinia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
200,1098,genus,Catulus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
201,1098,genus,Punctillum,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
202,1098,genus,Phaeothecoidiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
203,1098,genus,Crauatamyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
204,1098,genus,Phycorella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
205,1098,genus,Heptameria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
206,1098,genus,Pleotrichiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
207,1098,genus,Kusanobotrys,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
208,1098,genus,Scolecobonaria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
209,1098,genus,Myriangiopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
210,1098,genus,Diplochorina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
211,1028,genus,Pyrenochaeta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
212,1098,genus,Epibotrys,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
213,1098,genus,Macrovalsaria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
214,1098,genus,Teratoschaeta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
215,1028,genus,Septoriella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
216,1098,genus,Parmulariella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
217,1098,genus,Neodactylaria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
218,1098,genus,Phragmoscutella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
219,1098,genus,Pleurostromella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
220,1098,genus,Globulina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
221,1098,genus,Philonectria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
222,1098,genus,Microdothella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
223,1098,genus,Botryohypoxylon,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
224,1098,genus,Coccochora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
225,1098,genus,Pycnocarpon,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
226,1098,genus,Bryothele,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
227,1098,genus,Laterotheca,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
228,1098,genus,Keisslerellum,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
229,1098,genus,Keratosphaera,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
230,1098,genus,Moriolomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
231,1098,genus,Hyalosphaera,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
232,1098,genus,Polystomellopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
233,1028,genus,Sporidesmium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
234,1098,genus,Bryopelta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
235,1098,genus,Philobryon,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
236,1098,genus,Achorella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
237,1098,genus,Acrogenotheca,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
238,1098,genus,Aenigmatomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
239,1098,genus,Alascospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
240,1098,genus,Allosoma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
241,1098,genus,Amylirosa,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
242,1098,genus,Apiosporella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
243,1098,genus,Ascominuta,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
244,1098,genus,Ascostratum,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
245,1098,genus,Asteromella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
246,1098,genus,Atrosynnema,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
247,1098,genus,Austropleospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
248,1098,genus,Bactrodesmium,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
249,1098,genus,Bahugada,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
250,1098,genus,Cryomyces,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
251,1098,genus,Harknessiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
252,1098,genus,Tilakiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
253,1098,genus,Tomeoa,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
254,1028,genus,Tremateia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
255,1098,genus,Tyrannosorus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
256,1098,genus,Vizellopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
