A G Dietrich	BOT	A.Dietr.	Albert Gottfried Dietrich
A G F von Waldheim	BOT	Fisch.Waldh.	Alexander Gregorevich Fischer von Waldheim
A G Floyd	BOT	A.G.Floyd	Alexander G. Floyd
A G H von Bongard	BOT	Bong.	August Gustav Heinrich von Bongard
A G Jones	BOT	A.G.Jones	Almut Gitter Jones
A G L Adelbert	BOT	Adelb.	Albert George Ludwig Adelbert
A G Lyon	BOT	A.G.Lyon	Alexander Geoffrey Lyon
A G M W A Robyns	BOT	A.Robyns	Andre Georges Marie Walter Albert Robyns	André Georges Marie Walter Albert Robyns
A G Miller	BOT	A.G.Mill.	Anthony G. Miller
A G More	BOT	More	Alexander Goodman More
A G Murdock	BOT	Murdock	Andrew G. Murdock
A G Seisums	BOT	Seisums	A. G. Seisums
A G von Schrenk	BOT	Schrenk	Alexander Gustav von Schrenk
A Gaillard	BOT	Gaillard	Albert Gaillard
A Garden	BOT	Garden	Alexander Garden
A Gattinger	BOT	Gatt.	Augustin Gattinger
A Geheeb	BOT	Geh.	Adalbert Geheeb
A Gentil	BOT	Gentil	Ambroise Gentil
A George	BOT	A.S.George	Alex George
A Gibson	BOT	A.Gibson	Alexander Gibson
A Gilli	BOT	Gilli	Alexander Gilli
A Godefroy-Lebeuf	BOT	God.-Leb.	Alexandre Godefroy-Lebeuf
A Goldberg	BOT	Goldberg	Aaron Goldberg
A Gray	BOT	A.Gray	Asa Gray
A Guillaumin	BOT	Guillaumin	André Guillaumin
A Güner	BOT	Güner	Adil Güner
A H C de Coincy	BOT	Coincy	Auguste Henri Cornut de Coincy
A H du Pavillon	BOT	A.Huet	Alfred Huet du Pavillon
A H Evans	BOT	A.H.Evans	Arthur Humble Evans
A H G Alston	BOT	Alston	Arthur Hugh Garfit Alston
A H G de Cassini	BOT	Cass.	Alexandre Henri Gabriel de Cassini
A H Gentry	BOT	A.H.Gentry	Alwyn Howard Gentry
A H Hassall	BOT	Hassall	Arthur Hill Hassall
A H Haworth	BOT	Haw.	Adrian Hardy Haworth
A H Heller	BOT	A.H.Heller	Alfonse Henry Heller
A H Holmgren	BOT	A.H.Holmgren	Arthur Hermann Holmgren
A H K Brandt	BOT	K.Brandt	Andreas Heinrich Karl Brandt
A H L Phelps	BOT	A.Phelps	Almira Hart Lincoln Phelps
A H R Buller	BOT	Buller	Arthur Henry Reginald Buller
A H R Grisebach	BOT	Griseb.	August Heinrich Rudolf Grisebach
A H S Lucas	BOT	A.H.S.Lucas	Arthur Henry Shakespeare Lucas
A H S Onions	BOT	Onions	Agnes H. S. Onions	Agnes H.S. Onions
A H Weimarck	BOT	Weim.	August Henning Weimarck
A H Wolley-Dod	BOT	Wolley-Dod	Anthony Hurt Wolley-Dod
A Hamilton	BOT	A.Ham.	Arthur Hamilton
A Hartinger	BOT	Hartinger	Anton Hartinger
A Hay	BOT	A.Hay	Alistair Hay
A Heimerl	BOT	Heimerl	Anton Heimerl
A Henderson	BOT	A.Hend.	Archibald Henderson
A Henderson	BOT	A.J.Hend.	Andrew Henderson
A Henfrey	BOT	Henfr.	Arthur Henfrey
A Henry	BOT	A.Henry	Augustine Henry
A Hoffmann	BOT	A.E.Hoffm	Adriana Hoffmann
A Hoque	BOT	Hoque	Akramul Hoque
A Hue	BOT	Hue	Auguste-Marie Hue
A Hunter	BOT	Hunter	Alexander Hunter
A Hässler	BOT	A.Hässl.	Arne Hässler
A I Galushko	BOT	Galushko	Anatol I. Galushko
A I Pojarkova	BOT	Pojark.	Antonina Ivanovna Pojarkova
A I Schatz	BOT	A.Schatz	Albert Israel Schatz
A I Tolmatchew	BOT	Tolm.	Alexandr Innokentevich Tolmatchew
A I Vvedensky	BOT	Vved.	Alexei Ivanovich Vvedensky
A J B Chevalier	BOT	A.Chev.	Auguste Jean Baptiste Chevalier
A J Cavanilles	BOT	Cav.	Antonio José Cavanilles
