id	wikidata	ipni	zoobank	formerIds	family	given	suffix	born	died	activeFrom	activeTo	groups	source
ipni:20046448-1		20046448-1			Schulz	Eily M.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046449-1		20046449-1			Grenier	Florent				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046451-1		20046451-1			Fricke	Friedrich		1863	1926			Algae	ipni
ipni:20046452-1		20046452-1			Imamura	Sotoji		1901	1997				ipni
ipni:20046453-1		20046453-1			Kuroda	Hidetaka		1916	2000				ipni
ipni:20046454-1		20046454-1			Wolf	Monika		1932					ipni
ipni:20046456-1		20046456-1			Durante	Marina Viktorovna		1934	2014				ipni
ipni:20046457-1		20046457-1			Oliveira	Euzebio Paulo de		1882	1939				ipni
ipni:20046458-1		20046458-1			Zakrzewski	Boris Sergeevich		1909	1938			Algae	ipni
ipni:20046459-1		20046459-1			Nguyễn	Xuan-Truong				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046460-1		20046460-1			Deka	Kishor				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046461-1		20046461-1			Song	Yong Xiu				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046462-1		20046462-1			Nonato	Maribel G.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046463-1		20046463-1			Sujarwo	Wawan				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046464-1		20046464-1			Snopková	Paulína		1932	2019				ipni
ipni:20046465-1		20046465-1			Peterčáková	Mária		1957	2009				ipni
ipni:20046466-1		20046466-1			Liao	G.L.						Angiosperms|Gymnosperms	ipni
ipni:20046467-1		20046467-1			Takács	Attila				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046468-1		20046468-1			Rischawi	Ludwig Albertovich		1851	1915				ipni
ipni:20046469-1		20046469-1			Sarmiento Pérez	Gustavo Adolfo		1955					ipni
ipni:20046471-1		20046471-1			Petunnikov	Grigorij Alexeevich		1876	1956				ipni
ipni:20046472-1		20046472-1			Ueda	Yayoi				1986	1986		ipni
ipni:20046473-1		20046473-1			Frič	Antonín		1832	1913				ipni
ipni:20046575-1		20046575-1			Sedova	Maria Alexandrovna		1897					ipni
ipni:20046576-1		20046576-1			Zoricheva	Avgusta Ivanovna		1901					ipni
ipni:20046577-1		20046577-1			Hashimoto	Wataru		1911	2000				ipni
ipni:20046581-1		20046581-1			Case	L.B.				1877	1877	Angiosperms|Gymnosperms	ipni
ipni:20046583-1		20046583-1			Reyre	Yves		1935	2020				ipni
ipni:20046584-1		20046584-1			Ryba	Franz		1867	1918			Algae	ipni
ipni:20046587-1		20046587-1			Serlin	Bruce		1952	2017				ipni
ipni:20046590-1		20046590-1			Vieira	Jaqueline Alves				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046591-1		20046591-1			Sergeev	Vladimir Nikolaevich		1959	2019				ipni
ipni:20046593-1		20046593-1			Janssen	Raymond Ellsworth		1903	1987				ipni
