person	relation	other	source
wd:Q3047418	PARENT	wd:Q1375075	wikidata
wd:Q3048498	SIBLING	wd:Q485774	wikidata
wd:Q3048520	SIBLING	wd:Q3525142	wikidata
wd:Q3081482	SIBLING	wd:Q3206449	wikidata
wd:Q3087987	PARENT	wd:Q2109488	wikidata
wd:Q3101732	PARENT	wd:Q2993615	wikidata
wd:Q310456	PARENT	wd:Q540667	wikidata
wd:Q3126829	SIBLING	wd:Q500677	wikidata
wd:Q3127253	PARENT	wd:Q3302587	wikidata
wd:Q3127627	PARENT	wd:Q5077288	wikidata
wd:Q3136004	SIBLING	wd:Q3383270	wikidata
wd:Q3161112	PARENT	wd:Q3078870	wikidata
wd:Q3180318	PARENT	wd:Q7153889	wikidata
wd:Q318217	SIBLING	wd:Q5658215	wikidata
wd:Q3189639	SIBLING	wd:Q3370227	wikidata
wd:Q321094	PARENT	wd:Q727999	wikidata
wd:Q323003	PARENT	wd:Q1685616	wikidata
wd:Q32355	SIBLING	wd:Q63388	wikidata
wd:Q323912	PARENT	wd:Q2344459	wikidata
wd:Q3246790	PARENT	wd:Q781362	wikidata
wd:Q3265047	PARENT	wd:Q90305	wikidata
wd:Q3349305	SIBLING	wd:Q4349691	wikidata
wd:Q3370634	PARENT	wd:Q2959038	wikidata
wd:Q3379227	PARENT	wd:Q21611763	wikidata
wd:Q3381015	PARENT	wd:Q5730819	wikidata
wd:Q340247	PARENT	wd:Q714754	wikidata
wd:Q3426696	SIBLING	wd:Q485099	wikidata
wd:Q3431395	PARENT	wd:Q282065	wikidata
wd:Q3436389	PARENT	wd:Q6260437	wikidata
wd:Q3436756	PARENT	wd:Q3086348	wikidata
wd:Q344661	SIBLING	wd:Q55025963	wikidata
wd:Q3450203	PARENT	wd:Q5727704	wikidata
wd:Q346126	PARENT	wd:Q18243099	wikidata
wd:Q3500532	PARENT	wd:Q159542	wikidata
wd:Q354083	PARENT	wd:Q62989	wikidata
wd:Q354083	SIBLING	wd:Q441248	wikidata
wd:Q3625582	PARENT	wd:Q65899	wikidata
wd:Q36523973	SIBLING	wd:Q5361352	wikidata
wd:Q36560237	SIBLING	wd:Q4094902	wikidata
wd:Q36580078	PARENT	wd:Q319603	wikidata
wd:Q36611770	PARENT	wd:Q2613173	wikidata
wd:Q36651996	PARENT	wd:Q4539853	wikidata
wd:Q36692561	PARENT	wd:Q17165256	wikidata
wd:Q36692561	PARENT	wd:Q36532056	wikidata
wd:Q373452	PARENT	wd:Q78881	wikidata
wd:Q373452	SIBLING	wd:Q78745	wikidata
wd:Q377094	PARENT	wd:Q223963	wikidata
wd:Q379593	SIBLING	wd:Q379601	wikidata
wd:Q382358	PARENT	wd:Q743785	wikidata
