person	form	kind	code	source
ipni:20079126-1	B.W.Buxton	STANDARD	BOT	ipni
ipni:20079126-1	Bessie Wilson Raymond Buxton	FULL	ANY	ipni
ipni:20079127-1	W.F.Nichols	STANDARD	BOT	ipni
ipni:20079127-1	William F. Nichols	FULL	ANY	ipni
ipni:20079128-1	J.E.Jang	STANDARD	BOT	ipni
ipni:20079128-1	Ju Eun Jang	FULL	ANY	ipni
ipni:20079130-1	L.G.Kraft	STANDARD	BOT	ipni
ipni:20079130-1	Lesleigh G. K. Kraft	FULL	ANY	ipni
ipni:20079131-1	R.F.Waller	STANDARD	BOT	ipni
ipni:20079131-1	Ross F. Waller	FULL	ANY	ipni
ipni:20079132-1	H.L.Spalding	STANDARD	BOT	ipni
ipni:20079132-1	Heather L. Spalding	FULL	ANY	ipni
ipni:20079133-1	Jeong C.Kang	STANDARD	BOT	ipni
ipni:20079133-1	Jeong Chan Kang	FULL	ANY	ipni
ipni:20079134-1	V.Carneiro	STANDARD	BOT	ipni
ipni:20079134-1	Victor Andrei Rodrigues Carneiro	FULL	ANY	ipni
ipni:20079135-1	N.T.Martins	STANDARD	BOT	ipni
ipni:20079135-1	Nuno Tavares Martins	FULL	ANY	ipni
ipni:20079136-1	S.F.Jones	STANDARD	BOT	ipni
ipni:20079136-1	Scott F. Jones	FULL	ANY	ipni
ipni:20079137-1	J.O'Brien	STANDARD	BOT	ipni
ipni:20079137-1	Jessica O'Brien	FULL	ANY	ipni
ipni:20079138-1	S.A.Puentes	STANDARD	BOT	ipni
ipni:20079138-1	Stephanie A. Puentes	FULL	ANY	ipni
ipni:20079139-1	Muñuico	STANDARD	BOT	ipni
ipni:20079139-1	Jhon W. Muñuico	FULL	ANY	ipni
ipni:20079241-1	S.Hoong Tan	STANDARD	BOT	ipni
ipni:20079241-1	Sin Hoong Tan	FULL	ANY	ipni
ipni:20079242-1	A.Salim	STANDARD	BOT	ipni
ipni:20079242-1	Aman Salim	FULL	ANY	ipni
ipni:20079243-1	I.M.Strachan	STANDARD	BOT	ipni
ipni:20079243-1	Isabelle M. Strachan	FULL	ANY	ipni
ipni:20079244-1	Choussy	STANDARD	BOT	ipni
ipni:20079244-1	Felix Choussy	FULL	ANY	ipni
ipni:20079245-1	Lalière	STANDARD	BOT	ipni
ipni:20079245-1	Amour Lalière	FULL	ANY	ipni
ipni:20079246-1	D.Wei	STANDARD	BOT	ipni
ipni:20079246-1	Dan Wei	FULL	ANY	ipni
ipni:20079247-1	Abeys.	STANDARD	BOT	ipni
ipni:20079247-1	Sumedha Abeysekara	FULL	ANY	ipni
ipni:20079248-1	Kasunika	STANDARD	BOT	ipni
