Kuerzel;Bezeichnung;Erlaeuterung;Synonyme;BegriffId;ElternId;Hierarchie;Url;Guid;InspireCode;BoreholeMl;Aenderungsdatum
Q1G;Gelasium;Gelasian (older bound-2.58 Ma, younger bound-1.80 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 255 204; Quelle: International Chronostratigraphic Chart, Juli 2018;Gelasian;123;5;5;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/a1647cf0-4525-484a-81f1-9f1ba8169f8e;a1647cf0-4525-484a-81f1-9f1ba8169f8e;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/gelasian;True;16.08.2018
Q1GT;Tegelen-Komplex;; RGB-Farbwerte nach INSPIRE/ICS: 255 255 204; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Tiglian complex;209;123;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/c5c45729-7d21-484d-86cb-264846c02035;c5c45729-7d21-484d-86cb-264846c02035;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/gelasian;False;16.08.2018
Q1GP;Prätegelen-Komplex;; RGB-Farbwerte nach INSPIRE/ICS: 255 255 204; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Pretiglian complex;210;123;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/7b250dbc-cfa3-4dbf-926b-8d376f3f7db1;7b250dbc-cfa3-4dbf-926b-8d376f3f7db1;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/gelasian;False;16.08.2018
B;Tertiär;Tertiary (older bound-66 Ma, younger bound-2.58 Ma; System/System); RGB-Farbwerte nach INSPIRE/ICS: 242 206 143; Quelle: INSPIRE, Stratigraphische Tabelle von Deutschland 2016;Tertiary;9;2;3;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/9ebefd13-727b-4f5d-8a2f-0a4184e58fc0;9ebefd13-727b-4f5d-8a2f-0a4184e58fc0;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cenozoic;True;16.08.2018
N;Neogen;Neogene (older bound-23.03 Ma, younger bound-2.58 Ma; System/System); RGB-Farbwerte nach INSPIRE/ICS: 255 230 25; Quelle: International Chronostratigraphic Chart, Juli 2018;Neogene;10;9;4;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/7029fb9e-4d5a-4593-8b7e-eb377c0eb789;7029fb9e-4d5a-4593-8b7e-eb377c0eb789;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/neogene;True;16.08.2018
N2;Pliozän;Pliocene (older bound-5.333 Ma, younger bound-2.58 Ma; Serie/Series); RGB-Farbwerte nach INSPIRE/ICS: 255 255 153; Quelle: International Chronostratigraphic Chart, Juli 2018;Pliocene;11;10;5;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/377d84b5-f19f-4b8b-be96-f5e93d5536fc;377d84b5-f19f-4b8b-be96-f5e93d5536fc;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/pliocene;True;16.08.2018
N2P;Piacenzium;Piacenzian (older bound-3.6 Ma, younger bound-2.58 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 255 191; Quelle: International Chronostratigraphic Chart, Juli 2018;Piacenzian;135;11;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/e5e4e5d2-49b9-4238-b036-3f72328b42bb;e5e4e5d2-49b9-4238-b036-3f72328b42bb;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/piacenzian;True;16.08.2018
N2Z;Zancleum;Zanclean (older bound-5.333 Ma, younger bound-3.6 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 255 179; Quelle: International Chronostratigraphic Chart, Juli 2018;Zanclean;136;11;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/af8d0b30-177c-4649-a10a-6fa53193884f;af8d0b30-177c-4649-a10a-6fa53193884f;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/zanclean;True;16.08.2018
N1;Miozän;Miocene (older bound-23.03 Ma, younger bound-5.333 Ma; Serie/Series); RGB-Farbwerte nach INSPIRE/ICS: 255 255 0; Quelle: International Chronostratigraphic Chart, Juli 2018;Miocene;12;10;5;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/7107838d-b4d9-414a-8a1c-8222904b9c89;7107838d-b4d9-414a-8a1c-8222904b9c89;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/miocene;True;16.08.2018
N1M;Messinium;Messinian (older bound-7.246 Ma, younger bound-5.333 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 255 115; Quelle: International Chronostratigraphic Chart, Juli 2018;Messinian;137;12;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/07f83b85-e6bd-4e87-ae6e-2e8341be9820;07f83b85-e6bd-4e87-ae6e-2e8341be9820;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/messinian;True;16.08.2018
N1T;Tortonium;Tortonian (older bound-11.63 Ma, younger bound-7.246 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 255 102; Quelle: International Chronostratigraphic Chart, Juli 2018;Tortonian;138;12;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/9eddbe71-8364-44cc-86c5-71b79a0ba7b4;9eddbe71-8364-44cc-86c5-71b79a0ba7b4;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tortonian;True;16.08.2018
