ID|Language|Label|Definition|Description|Governance level ID|Governance level Label|Codelist ID|Codelist label|Reference Source|Reference Link|Status ID|Status label|Parent ID|Successor ID|Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianStage4|en|Cambrian-Stage 4|IUGS /CGI value|Cambrian-Stage 4 (older bound-515.0 Ma, younger bound-510.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries2||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianStage3|en|Cambrian-Stage 3|IUGS /CGI value|Cambrian-Stage 3 (older bound-521.0 Ma, younger bound-515.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries2||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/terreneuvian|en|Terreneuvian|IUGS /CGI value|Terreneuvian (older bound-542 +/-1 Ma, younger bound-521.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianStage2|en|Cambrian-Stage 2|IUGS /CGI value|Cambrian-Stage 2 (older bound-528.0 Ma, younger bound-521.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/terreneuvian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/fortunian|en|Fortunian|IUGS /CGI value|Fortunian (older bound-542 +/-1 Ma, younger bound-528.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/terreneuvian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/precambrian|en|Precambrian|IUGS /CGI value|Precambrian (older bound-4600.0 Ma, younger bound-542.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/proterozoic|en|Proterozoic|IUGS /CGI value|Proterozoic (older bound-2500.0 Ma, younger bound-542.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/precambrian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/neoproterozoic|en|Neoproterozoic|IUGS /CGI value|Neoproterozoic (older bound-1000.0 Ma, younger bound-542.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/proterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ediacaran|en|Ediacaran|IUGS /CGI value|Ediacaran (older bound-635.0 Ma, younger bound-542.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/neoproterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cryogenian|en|Cryogenian|IUGS /CGI value|Cryogenian (older bound-850.0 Ma, younger bound-635.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/neoproterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tonian|en|Tonian|IUGS /CGI value|Tonian (older bound-1000.0 Ma, younger bound-850.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/neoproterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tonian2|en|Tonian 2 *|TWG-GE term|Tonian 2 * (older bound-910.0 Ma, younger bound-850.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tonian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tonian1|en|Tonian 1 *|TWG-GE term|Tonian 1 * (older bound-1000.0 Ma, younger bound-910.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/tonian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/mesoproterozoic|en|Mesoproterozoic|IUGS /CGI value|Mesoproterozoic (older bound-1600.0 Ma, younger bound-1000.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/proterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/stenian|en|Stenian|IUGS /CGI value|Stenian (older bound-1200.0 Ma, younger bound-1000.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/mesoproterozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/stenian2|en|Stenian 2 *|TWG-GE term|Stenian 2 * (older bound-1130.0 Ma, younger bound-1000.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/stenian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/stenian1|en|Stenian 1 *|TWG-GE term|Stenian 1 * (older bound-1200.0 Ma, younger bound-1130.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/stenian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ectasian|en|Ectasian|IUGS /CGI value|Ectasian (older bound-1400.0 Ma, younger bound-1200.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/mesoproterozoic||
